,stockName,currentPrice,date_peak_or_trough,"price(p,t)",indicator
88,LEG,33.18,735498.0,35.94,-8.0%
89,LUK,21.43,735404.0,26.72,-20.0%
90,LUK,21.43,735163.0,29.28,-27.5%
91,LUK,21.43,734995.0,31.97,-33.0%
92,LLTC,38.81,735495.0,46.09,-16.0%
93,LLTC,38.81,735495.0,46.09,-16.0%
94,LLTC,38.81,735423.0,48.09,-20.0%
95,MTB,118.94,735495.0,128.69,-8.0%
96,MTB,118.94,735495.0,128.69,-8.0%
97,MMM,132.9,735438.0,145.56,-8.0%
98,MAR,61.71,735495.0,73.28,-16.0%
99,MAR,61.71,735495.0,73.28,-16.0%
100,MAS,20.97,735506.0,24.82,-16.0%
101,MCHP,38.69,735326.0,48.66,-20.0%
102,MU,27.03,735470.0,33.7,-20.0%
103,MSFT,43.65,735495.0,47.57,-8.0%
104,MSFT,43.65,735495.0,47.57,-8.0%
105,MHK,124.82,735480.0,149.84,-16.0%
106,MON,105.91,735495.0,115.8,-8.0%
107,MSI,58.5,735502.0,63.45,-8.0%
108,NBL,55.57,735407.0,79.63,-30.0%
109,NBL,55.57,735347.0,76.1,-27.5%
110,NBL,55.57,735071.0,65.72,-16.0%
111,NSC,103.21,735495.0,112.95,-8.0%
112,NUE,48.22,735367.0,52.62,-8.0%
113,NVDA,16.785,735480.0,20.15,-16.0%
114,OXY,87.9,735473.0,103.74,-16.0%
115,OXY,87.9,735473.0,103.74,-16.0%
116,OXY,87.9,735407.0,104.89,-16.0%
117,OKE,55.15,735415.0,68.46,-20.0%
118,OI,24.06,735327.0,34.65,-30.0%
119,OI,24.06,735233.0,35.95,-33.0%
120,PH,103.09,735393.0,129.91,-20.0%
121,PH,103.09,735233.0,128.19,-20.0%
122,PRGO,145.72,735509.0,157.36,-8.0%
123,PFE,28.47,735495.0,30.84,-8.0%
124,PFE,28.47,735495.0,30.84,-8.0%
125,PBI,22.63,735429.0,28.17,-20.0%
126,PNC,81.05,735495.0,88.28,-8.0%
127,PNC,81.05,735495.0,88.28,-8.0%
128,PCP,218.22,735393.0,275.06,-20.0%
129,PCP,218.22,735254.0,274.86,-20.0%
130,QEP,23.04,735344.0,32.63,-30.0%
131,QEP,23.04,735163.0,34.18,-33.0%
132,QEP,23.04,734942.0,32.79,-30.0%
133,QEP,23.04,734875.0,31.5,-27.5%
134,PWR,31.25,735495.0,37.45,-16.0%
135,PWR,31.25,735479.0,37.49,-16.0%
136,PWR,31.25,735327.0,37.42,-16.0%
137,DGX,58.62,735479.0,64.03,-8.0%
138,RRC,61.87,735074.0,85.02,-27.5%
139,ROP,138.63,735495.0,151.17,-8.0%
140,ROP,138.63,735465.0,151.53,-8.0%
141,ROP,138.63,735465.0,151.53,-8.0%
142,ROP,138.63,735403.0,151.03,-8.0%
143,SNDK,82.81,735495.0,104.37,-20.0%
144,SNDK,82.81,735495.0,104.37,-20.0%
145,SEE,30.99,735353.0,36.92,-16.0%
146,SWN,32.84,735478.0,41.23,-20.0%
147,SWN,32.84,735346.0,49.16,-33.0%
148,SPLS,12.11,735495.0,13.16,-8.0%
149,SPLS,12.11,735495.0,13.16,-8.0%
150,STT,66.9,735444.0,72.84,-8.0%
151,TROW,73.94,735495.0,80.74,-8.0%
152,TXN,41.93,735428.0,49.53,-16.0%
153,TMK,51.11,735474.0,55.18,-8.0%
154,TSCO,57.17,735509.0,62.46,-8.0%
155,TSCO,57.17,735479.0,67.84,-16.0%
156,TSCO,57.17,735064.0,61.7,-8.0%
157,TYC,41.54,735495.0,45.22,-8.0%
158,TYC,41.54,735495.0,45.22,-8.0%
159,TYC,41.54,735466.0,45.24,-8.0%
160,USB,39.86,735495.0,43.33,-8.0%
161,USB,39.86,735495.0,43.33,-8.0%
162,USB,39.86,735417.0,43.49,-8.0%
163,MLM,107.27,735484.0,133.02,-20.0%
164,UNM,32.79,735393.0,35.78,-8.0%
165,VLO,44.55,735246.0,53.12,-16.0%
166,VAR,79.08,735487.0,86.17,-8.0%
167,VIAB,68.22,735495.0,81.23,-16.0%
168,VIAB,68.22,735171.0,84.78,-20.0%
169,VMC,55.28,735296.0,69.38,-20.0%
170,VMC,55.28,735176.0,59.97,-8.0%
171,WFM,36.72,735494.0,40.01,-8.0%
172,WFM,36.72,735472.0,40.08,-8.0%
173,XYL,31.91,735495.0,37.95,-16.0%
174,XYL,31.91,735480.0,38.21,-16.0%
175,XYL,31.91,735408.0,39.87,-20.0%
176,XYL,31.91,735288.0,39.52,-20.0%
177,XYL,31.91,735192.0,34.57,-8.0%
178,YUM,67.62,735495.0,73.35,-8.0%
179,YUM,67.62,735495.0,73.35,-8.0%
180,ZION,26.98,735255.0,32.2,-16.0%
